x,y
8.529600,-0.277390
8.416015,-0.319309
8.299422,-0.350268
8.180134,-0.371423
8.058466,-0.383932
7.934732,-0.388950
7.809246,-0.387634
7.682322,-0.381142
7.554275,-0.370630
7.425417,-0.357254
7.296064,-0.342172
7.166530,-0.326539
7.037107,-0.311436
6.907897,-0.297228
6.778899,-0.283898
6.650109,-0.271428
6.521524,-0.259795
6.393143,-0.248982
6.264963,-0.238966
6.136980,-0.229728
6.009192,-0.221249
5.881597,-0.213507
5.754191,-0.206483
5.626972,-0.200157
5.499937,-0.194508
5.373084,-0.189517
5.246410,-0.185163
5.119912,-0.181426
4.993588,-0.178286
4.867434,-0.175723
4.741449,-0.173717
4.615629,-0.172247
4.489971,-0.171294
4.364474,-0.170837
4.239133,-0.170856
4.113948,-0.171332
3.988914,-0.172244
3.864030,-0.173571
3.739292,-0.175294
3.614697,-0.177393
3.490244,-0.179847
3.365930,-0.182637
3.241751,-0.185742
3.117705,-0.189142
2.993789,-0.192818
2.870001,-0.196748
2.746338,-0.200913
2.622797,-0.205292
2.499376,-0.209866
2.376071,-0.214614
2.252881,-0.219517
2.129802,-0.224554
2.006832,-0.229704
1.883968,-0.234949
1.761207,-0.240267
1.638547,-0.245640
1.515985,-0.251045
1.393518,-0.256464
1.271144,-0.261876
1.148859,-0.267262
1.026662,-0.272600
0.904549,-0.277871
0.782518,-0.283055
0.660566,-0.288132
0.538690,-0.293081
0.416888,-0.297883
0.295157,-0.302517
0.173495,-0.306963
0.051898,-0.311201
-0.069637,-0.315210
-0.191111,-0.318972
-0.312527,-0.322465
-0.433889,-0.325670
-0.555199,-0.328566
-0.676459,-0.331134
-0.797673,-0.333352
-0.918842,-0.335202
-1.039970,-0.336663
-1.161060,-0.337714
-1.282114,-0.338336
-1.403134,-0.338508
-1.524124,-0.338211
-1.645086,-0.337425
-1.766024,-0.336152
-1.886941,-0.334409
-2.007842,-0.332217
-2.128729,-0.329595
-2.249608,-0.326562
-2.370482,-0.323139
-2.491354,-0.319343
-2.612230,-0.315195
-2.733112,-0.310715
-2.854004,-0.305921
-2.974911,-0.300833
-3.095836,-0.295471
-3.216783,-0.289854
-3.337757,-0.284001
-3.458760,-0.277932
-3.579797,-0.271667
-3.700872,-0.265224
-3.821989,-0.258624
-3.943151,-0.251885
-4.064362,-0.245027
-4.185627,-0.238071
-4.306949,-0.231034
-4.428332,-0.223936
-4.549780,-0.216798
-4.671297,-0.209638
-4.792886,-0.202476
-4.914552,-0.195331
-5.036299,-0.188223
-5.158130,-0.181171
-5.280049,-0.174195
-5.402061,-0.167314
-5.524169,-0.160547
-5.646376,-0.153915
-5.768687,-0.147436
-5.891106,-0.141129
-6.013637,-0.135016
-6.136283,-0.129114
-6.259049,-0.123443
-6.381938,-0.118023
-6.504954,-0.112873
-6.628101,-0.108013
-6.751383,-0.103462
-6.874804,-0.099239
-6.998368,-0.095364
-7.122078,-0.091857
-7.245939,-0.088737
-7.369954,-0.086022
-7.494127,-0.083734
-7.618463,-0.081891
-7.742964,-0.080512
-7.867636,-0.079618
-7.992481,-0.079227
-8.117504,-0.079359
-8.242709,-0.080034
-8.368099,-0.081271
-8.493679,-0.083089
-8.619452,-0.085507
-8.745422,-0.088546
-8.871593,-0.092225
-8.997969,-0.096563
-9.124554,-0.101579
-9.251351,-0.107294
-9.378365,-0.113726
-9.505600,-0.120895
-9.633059,-0.128820
-9.760746,-0.137522
-9.888666,-0.147018
-10.016821,-0.157330
-10.145216,-0.168475
-10.273856,-0.180474
-10.402743,-0.193347
-10.531881,-0.207112
-10.661275,-0.221789
-10.790928,-0.237397
-10.920845,-0.253956
-11.051029,-0.271486
-11.181484,-0.290006
-11.312213,-0.309534
-11.443222,-0.330092
-11.574513,-0.351697
-11.706050,-0.374241
-11.837522,-0.396765
-11.968512,-0.417972
-12.098601,-0.436564
-12.227372,-0.451241
-12.354404,-0.460706
-12.479281,-0.463660
-12.601584,-0.458804
-12.720894,-0.444840
-12.836792,-0.420469
-12.948861,-0.384392
-13.056683,-0.335361
-13.159890,-0.273380
-13.258164,-0.199779
-13.351187,-0.115956
-13.438643,-0.023304
-13.520217,0.076778
-13.595592,0.182897
-13.664452,0.293657
-13.726480,0.407660
-13.781361,0.523514
-13.828936,0.640130
-13.869520,0.757335
-13.903510,0.875124
-13.931306,0.993492
-13.953306,1.112433
-13.969910,1.231941
-13.981516,1.352010
-13.988523,1.472636
-13.991329,1.593812
-13.990335,1.715534
-13.985939,1.837795
-13.978539,1.960590
-13.968534,2.083913
-13.956324,2.207760
-13.942308,2.332123
-13.926883,2.456999
-13.910449,2.582380
-13.893406,2.708263
-13.876151,2.834640
-13.859084,2.961507
-13.842603,3.088858
-13.827108,3.216688
-13.812997,3.344990
-13.800669,3.473760
-13.790523,3.602992
